"book_title","paper_id","dc_type","authors","year","source","keyword"
"Proactive Rod Pump Optimization: Leveraging Big Data to Accelerate and Improve Operations","SPE-181216-MS","conference-paper","Palmer, Tyler, Denbury Resources Inc. | Turland, Mark, Denbury Resources Inc.",2016,"SPE","'big+data'"
"Analytics in Oil and Gas: The Big Deal About Big Data","SPE-163717-MS","conference-paper","Feblowitz, Jill, IDC Energy Insights",2013,"SPE","'big+data'"
"SUPPLEMENTARY/SPE-181273-SUP.pdf","SPE-181273-MS","media","",NA,NA,"'big+data'"
"Big Data Yields Completion Optimization: Using Drilling Data to Optimize Completion Efficiency in a Low Permeability Formation","SPE-181273-MS","conference-paper","Lehman, Lyle V., Frac Diagnostics, LLC | Jackson, Kale, Endurance Resources | Noblett, Bruce, Quantico Energy Services",2016,"SPE","'big+data'"
"A Journey Towards Building Real-Time Big Data Analytics Environment for Drilling Operations: Challenges and Lessons Learned","SPE-192285-MS","conference-paper","AlBar, Abdullah H., Saudi Aramco | Alotaibi, Bader M., Saudi Aramco | Asfoor, Hasan M., Saudi Aramco | Nefai, Mohammad S., Saudi Aramco",2018,"SPE","'big+data'"
"The Unfinished Revolution: What is Missing From the E&P Industry's Move to ""Big Data""","SPE-0514-0020-JPT","journal-paper","Perrons, Robert K., Queensland University of Technology | Jensen, Jesse, Intel",2014,"SPE","'big+data'"
"Retrieving Information and Discovering Knowledge from Unstructured Data Using Big Data Mining Technique: Heavy Oil Fields Example","IPTC-17805-MS","conference-paper","Wu, Wenkuang, C&C Reservoirs Ltd. | Lu, Xiaoguang, C&C Reservoirs Ltd. | Cox, Ben, C&C Reservoirs Ltd. | Li, Guoqiang, C&C Reservoirs Ltd. | Lin, Lihua, C&C Reservoirs Ltd. | Yang, Qing, C&C Reservoirs Ltd.",2014,"IPTC","'big+data'"
"Big Data Hiding in Small Rocks: Case Study of Advanced Microscopy and Image Processing to Aid Upstream Asset Development","SPE-182821-MS","conference-paper","Minhas, Naeem-Ur-Rehman, Baker Hughes Inc. | Saad, Bilal, Baker Hughes Inc. | Hussain, Maaruf, Baker Hughes Inc. | Nair, Asok J., Baker Hughes Inc. | Korvin, Gabor, King Fahd University of Petroleum and Minerals",2016,"SPE","'big+data'"
"Video:                  Integrating Big Data: Simulation, Predictive Analytics, Real Time Monitoring, and Data Warehousing in a Single Cloud Application","OTC-28910-PT","presentation","Mounir, N., Advantek Waste Management Services | Guo, Y., Advantek Waste Management Services | Panchal, Y., Advantek Waste Management Services | Mohamed, I. M., Advantek Waste Management Services | Abou-Sayed, A., Advantek Waste Management Services | Abou-Sayed, O., Advantek Waste Management Services",2018,"OTC","'big+data'"
"Big Data-Driven Advanced Analytics: Application of Convolutional and Deep Neural Networks for GPU Based Seismic Interpretations","SPE-193259-MS","conference-paper","Haroon, Sarblund, AlphaX Decision Sciences LLC | Alyamkin, Sergey, AlphaX Decision Sciences LLC | Shenoy, Ramachandra, AlphaX Decision Sciences LLC",2018,"SPE","'big+data'"
"Topological Data Analysis to Solve Big Data Problem in Reservoir Engineering: Application to Inverted 4D Seismic Data","SPE-174985-MS","conference-paper","Alfaleh, Abdulhamed, Saudi Aramco | Wang, Yuhe, Texas A&M University at Qatar | Yan, Bicheng, Texas A&M University | Killough, John, Texas A&M University | Song, Hongqing, University of Science & Technology Beijing | Wei, Chenji, PetroChina",2015,"SPE","'big+data'"
"Introducing a Big Data System for Maintaining Well Data Quality and Integrity in a World of Heterogeneous Environment","SPE-188082-MS","conference-paper","Bin Mahfoodh, Abdulelah, Saudi Aramco | Ibrahim, Mohamad, Saudi Aramco | Hawi, Maan, Saudi Aramco | Hakami, Khalid, Saudi Aramco",2017,"SPE","'big+data'"
"Technology Update: Big Data for Advanced Well Engineering Holds Strong Potential To Optimize Drilling Costs","SPE-0218-0018-JPT","journal-paper","Rossi, Nicola, kwantis | Michelez, Jean, kwantis | Concina, Fabio, kwantis",2018,"SPE","'big+data'"
"WITSML v2.0: Paving the Way for Big Data Analytics Through Improved Data Assurance and Data Organization","SPE-181096-MS","conference-paper","Gidh, Yash, Shell | Deeks, Nigel, Schlumberger | Grovik, Lars Olav, Statoil | Johnson, David, Petrolink | Arumugam, Sethupathi, Infosys | Schey, Jana, Energistics | Hollingsworth, Jay, Energistics",2016,"SPE","'big+data'"
"Integrating Big Data: Simulation, Predictive Analytics, Real Time Monitoring, and Data Warehousing in a Single Cloud Application","OTC-28910-MS","conference-paper","Mounir, N., Advantek Waste Management Services | Guo, Y., Advantek Waste Management Services | Panchal, Y., Advantek Waste Management Services | Mohamed, I. M., Advantek Waste Management Services | Abou-Sayed, A., Advantek Waste Management Services | Abou-Sayed, O., Advantek Waste Management Services",2018,"OTC","'big+data'"
"SUPPLEMENTARY/OTC-26274-SUP.pdf","OTC-26274-MS","media","",NA,NA,"'big+data'"
"Survey of Big Data New SQL Database Systems for Real-Time Data Transfer in the Upstream Oil and Gas Industry","SPE-192412-MS","conference-paper","Djamaluddin, Basirudin, Petrolink International | Mohammed, Salahadin, King Fahd University of Petroleum and Minerals",2018,"SPE","'big+data'"
"Sisi Nubi Dashboard: Implementation of Business Intelligence in Reservoir Modelling & Synthesis: Managing Big Data and Streamline the Decision Making Process","SPE-186907-MS","conference-paper","Sukapradja, Aldyth, Total E&P Indonesie | Clark, Jesse, Total E&P Indonesie | Hermawan, Hermawan, Total E&P Indonesie | Tjiptowiyono, Soegianto, Total E&P Indonesie",2017,"SPE","'big+data'"
"The Role of Big Data in Operational Excellence and Real Time Fleet Performance Management—The Key to Deepwater Thriving in a Low-Cost Oil Environment","SPE-189603-MS","conference-paper","Bolen, Matt, Chevron | Crkvenjakov, Vladimir, Schlumberger | Converset, Julien, Schlumberger",2018,"SPE","'big+data'"
