"book_title","paper_id","dc_type","authors","year","source","keyword"
"Advanced Fractal Modelling of Heterogeneous and Anisotropic Reservoirs","SPWLA-2018-AA","conference-paper","Glover, Paul W. J., University of Leeds | Lorinczi, Piroska, University of Leeds | Al-Zainaldin, Saud, University of Leeds | Al-Ramadan, Hassan, University of Leeds | Daniel, George, University of Leeds | Sinan, Saddam, University of Leeds",2018,"SPWLA","'data+science'"
"Formation Breakdown Pressure Prediction with Artificial Neural Networks","SPE-191391-18IHFT-MS","conference-paper","Kiss, Akos, OMV Exploration & Production GmbH | Fruhwirth, Rudolf K., Montanuniversität Leoben | Pongratz, Reinhard, OMV Exploration & Production GmbH | Maier, Robert, OMV Exploration & Production GmbH | Hofstätter, Herbert, Montanuniversität Leoben",2018,"SPE","'data+science'"
"Artificial Intelligence–Driven Asset Optimizer","SPE-191551-MS","conference-paper","Gupta, Supriya, Schlumberger | Sharma, Abhishek, Schlumberger | Abubakar, Aria, Schlumberger",2018,"SPE","'data+science'"
"Augmenting Hybrid Physics-Based Multivariate Analysis with the Alternating Conditional Expectations Approach to Optimize Permian Basin Well Performance","SPE-191798-MS","conference-paper","Lolon, Ely, Liberty Oilfield Services | Agarwal, Karn, Liberty Oilfield Services | Mayerhofer, Michael, Liberty Oilfield Services | Oduba, Oladapo, Liberty Oilfield Services | Melcher, Howard, Liberty Oilfield Services | Weijers, Leen, Liberty Oilfield Services",2018,"SPE","'data+science'"
"Improved Data-driven Models for Forecasting Production Performance with Uncertainty Analysis","SPE-178412-MS","conference-paper","Ladipo, O., | Ogbe, David O.,",2015,"SPE","'data+science'"
"A Benchmarking Study of a Novel Data Physics Technology for Steamflood and SAGD Modeling: Comparison to Conventional Reservoir Simulation","SPE-189772-MS","conference-paper","Zhao, Yong, Tachyus Corp. | Sarma, Pallav, Tachyus Corp.",2018,"SPE","'data+science'"
"Rapid Development of Real-Time Drilling Analytics System","SPE-189595-MS","conference-paper","Cao, Dingzhou, Anadarko Petroleum Corporation | Loesel, Chad, Anadarko Petroleum Corporation | Paranji, Sanjay, Anadarko Petroleum Corporation",2018,"SPE","'data+science'"
"An Expert System for Drill Bit Selection","SPE-27470-MS","conference-paper","Fear, M.J., BP Exploration | Meany, N.C., Hughes Christensen Co. | Evans, J.M., Data Sciences UK Ltd.",1994,"SPE","'data+science'"
"Mapping the Natural Fracture Network in Marcellus Shale using Artificial","SPE-187131-MS","conference-paper","Mohaghegh, S. D., Intelligent Solutions, Inc. & West Virginia University",2017,"SPE","'data+science'"
"People and Process: Integration of Technology and Organizational Alignment for Successful Implementation of a Strategic Capital Investment Portfolio","SPE-187162-MS","conference-paper","Fulford, David S., Apache Corporation | Starley, Gregory P., Apache Corporation | Berry, Michael, Apache Corporation | Turk, Derrick W., Terminus Data Science LLC | DuBois, James R., 3esi-Enersight",2017,"SPE","'data+science'"
"Integrating Big Data Analytics Into Development Planning Optimization","SPE-191796-18ERM-MS","conference-paper","Ockree, Matthew, Range Resources-Appalachia, LLC | Brown, Kenneth G., Range Resources-Appalachia, LLC | Frantz, Joseph, Range Resources-Appalachia, LLC | Deasy, Michael, Range Resources-Appalachia, LLC | John, Ramey, Novi Labs",2018,"SPE","'data+science'"
"Microseismic cluster analysis and in-situ stress inversion: A case study from the Cardium Formation, west central Alberta, Canada","SEG-2017-17537960","conference-paper","Zhang, Xiaolin, Schlumberger | Yu, Xin, Schlumberger | Calvez, Joel Le, Schlumberger | Hajizadeh, Yasin, Schlumberger",2017,"SEG","'data+science'"
"Detecting and Removing Outliers in Production Data to Enhance Production Forecasting","SPE-179958-MS","conference-paper","Chaudhary, Nitinkumar L., University of Houston | Lee, W. John, Texas A&M University",2016,"SPE","'data+science'"
"Cyclic Steam Injection Modeling and Optimization for Candidate Selection, Steam Volume Optimization, and SOR Minimization, Powered by Unique, Fast, Modeling and Data Assimilation Algorithms","SPE-185747-MS","conference-paper","Sarma, Pallav, Tachyus Inc. | Fowler, Garrett, Tachyus Inc. | Henning, Mark, Tachyus Inc. | Kyriacou, Stylianos, Tachyus Inc. | Thakur, Ganesh, Tachyus Inc. | Sloss, Dakin, Tachyus Inc. | Shipley, Wyatt, Vaquero Energy Inc.",2017,"SPE","'data+science'"
"Drilling with Digital Twins","SPE-191388-MS","conference-paper","Nadhan, Derek, eDrilling | Mayani, Maryam Gholami, eDrilling | Rommetveit, Rolv, eDrilling",2018,"SPE","'data+science'"
"Video:                  Searching for Energy Policy Alternatives","SPE-174981-PT","presentation","Blaskovich, Frank, BSI",2015,"SPE","'data+science'"
"Searching for Energy Policy Alternatives","SPE-174981-MS","conference-paper","Blaskovich, Frank, BSI",2015,"SPE","'data+science'"
"Optimizing Drilling by Simulation and Automation with Big Data","SPE-191427-MS","conference-paper","Hutchinson, Mark, Leader Drilling International | Thornton, Ben, MSC Software | Theys, Philippe, Consultant | Bolt, Harald, Depth Solutions, Ltd.",2018,"SPE","'data+science'"
"Application of Real-time Video Streaming and Analytics to Breakdown Rig Connection Process","OTC-28742-MS","conference-paper","Hegde, Chiranth, The University of Texas at Austin | Awan, Omar, Shell Global Solutions, US, Inc | Wiemers, Tim, Shell Global Solutions, US, Inc",2018,"OTC","'data+science'"
"Multilateral Wells Evaluation Utilizing Artificial Intelligence","SPE-183508-MS","conference-paper","Al-Mashhad, Ali S., Saudi Aramco | Al-Arifi, Sulaiman A., KFUPM | Al-Kadem, Mohammed S., Saudi Aramco | Al-Dabbous, Mohammed S., Saudi Aramco | Buhulaigah, Ahmed, Saudi Aramco",2016,"SPE","'data+science'"
"Multilateral Wells Evaluation Utilizing Artificial Intelligence","SPE-183688-MS","conference-paper","Buhulaigah, Ahmed, Saudi Aramco | Al-Mashhad, Ali S., Saudi Aramco | Al-Arifi, Sulaiman A., KFUPM | Al-Kadem, Mohammed S., Saudi Aramco | Al-Dabbous, Mohammed S., Saudi Aramco",2017,"SPE","'data+science'"
"Machine Learning as a Reliable Technology for Evaluating Time/Rate Performance of Unconventional Wells","SPE-174784-PA","journal-paper","Fulford, David S., Apache Corporation | Bowie, Braden, Apache Corporation | Berry, Michael E., Apache Corporation | Bowen, Bo, Apache Corporation | Turk, Derrick W., Terminus Data Science",2016,"SPE","'data+science'"
"Video:                  Machine Learning as a Reliable Technology for Evaluating Time-Rate Performance of Unconventional Wells","SPE-174784-PT","presentation","Fulford, David S., Apache Corporation | Bowie, Braden, Apache Corporation | Berry, Michael E., Apache Corporation | Bowen, Bo, Apache Corporation | Turk, Derrick W., Terminus Data Science",2015,"SPE","'data+science'"
"Redistribution of Steam Injection in Heavy Oil Reservoir Management to Improve EOR Economics, Powered by a Unique Integration of Reservoir Physics and Machine Learning","SPE-185507-MS","conference-paper","Sarma, Pallav, Tachyus Inc. | Kyriacou, Stylianos, Tachyus Inc. | Henning, Mark, Tachyus Inc. | Orland, Paul, Tachyus Inc. | Thakur, Ganesh, Tachyus Inc. | Sloss, Dakin, Tachyus Inc.",2017,"SPE","'data+science'"
"Machine Learning as a Reliable Technology for Evaluating Time-Rate Performance of Unconventional Wells","SPE-174784-MS","conference-paper","Fulford, David S., Apache Corporation | Bowie, Braden, Apache Corporation | Berry, Michael E., Apache Corporation | Bowen, Bo, Apache Corporation | Turk, Derrick W., Terminus Data Science",2015,"SPE","'data+science'"
"An Enhanced Method to Correct Rate Data for Variations in Bottom-Hole Pressure","SPE-179959-MS","conference-paper","Chaudhary, Nitinkumar L., University of Houston | Lee, W. John, Texas A&M University",2016,"SPE","'data+science'"
"Shale Analytics: Making Production and Operational Decisions Based on Facts: A Case Study in Marcellus Shale","SPE-184822-MS","conference-paper","Mohaghegh, S. D., Intelligent Solutions, Inc., West Virginia University | Gaskari, R., Intelligent Solutions, Inc. | Maysami, M., Intelligent Solutions, Inc.",2017,"SPE","'data+science'"
"Acoustics-Based Flow Monitoring During Hydraulic Fracturing","SPE-179151-MS","conference-paper","Stokely, Christopher L., Halliburton",2016,"SPE","'data+science'"
"Guest Editorial: Changing How We Manage HSE: Getting to Zero","SPE-0416-0014-JPT","journal-paper","Hinton, Jack, Baker Hughes",2016,"SPE","'data+science'"
"AI Firm Ambyint’s New Bakken Deal With Equinor Moves the Industry Another Step Closer to the Edge","SPE-1018-0030-JPT","journal-paper","Jacobs, Trent, JPT Digital Editor",2018,"SPE","'data+science'"
"The Role of Big Data Analytics in Exploration and Production: A Review of Benefits and Applications","SPE-193776-MS","conference-paper","Noshi, Christine I., Texas A&M University | Assem, Ahmed I., Texas A&M University | Schubert, Jerome J., Texas A&M University",2018,"SPE","'data+science'"
"Building Relationships With a Marginalized Community in Iraq","SPE-0817-0078-JPT","journal-paper","Wilson, Adam, JPT Special Publications Editor",2017,"SPE","'data+science'"
"SCOOP/STACK Periphery Plays: A Multidisciplinary Approach","URTEC-2902870-MS","conference-paper","Yee, Denise, RS Energy Group | Johnston, Gillian, RS Energy Group | Levesque, Jason, RS Energy Group | Ahmed, Shak, RS Energy Group | Walkter, Justin, RS Energy Group",2018,"URTEC","'data+science'"
"Cloud-Based Solution for Advanced Real-Time Fracturing Evaluation","SPE-191680-MS","conference-paper","Parkhonyuk, Sergey, Schlumberger | Nikolaev, Max, Schlumberger | Fedorov, Andrey, Schlumberger | Konchenko, Andrey, Schlumberger | Vik, Torbjoern, Schlumberger",2018,"SPE","'data+science'"
"Driving HSE Culture Change - A Case History","WPC-22-1265","conference-paper","Nonno, Lamberto, Baker Hughes | Hinton, Jack, Baker Hughes",2017,"WPC","'data+science'"
"Applying Data Management and Visualization to OPEX Reduction and Improved Asset Integrity Programs","SPE-187217-MS","conference-paper","Arciero, B. V., Murphy Exploration & Production Company | Ismail, H., Murphy Exploration & Production Company",2017,"SPE","'data+science'"
"Artificial Intelligence for Shipboard Asset Failure Prediction","SNAME-SMC-2018-056","conference-paper","Mitchell, Walter, SparkCognition, Inc. | Rosner, Marla, SparkCognition, Inc.",2018,"SNAME","'data+science'"
"Crossover Technologies Enhance Innovation in Oil Industry","SPE-0915-0080-JPT","journal-paper","Henni, Abdelghani, JPT Middle East Editor",2015,"SPE","'data+science'"
"Community Consensus: Herding Cats Along the Strategic Roadway","SPE-0518-0010-JPT","journal-paper","Spady, Darcy, 2018 SPE President",2018,"SPE","'data+science'"
"Technology Update: Big Data for Advanced Well Engineering Holds Strong Potential To Optimize Drilling Costs","SPE-0218-0018-JPT","journal-paper","Rossi, Nicola, kwantis | Michelez, Jean, kwantis | Concina, Fabio, kwantis",2018,"SPE","'data+science'"
"Improving Operations Performance through Artificial Intelligence, Digital, and Advanced Analytics Applications","SPE-193221-MS","conference-paper","Brun, Anders, McKinsey & Company Inc.",2018,"SPE","'data+science'"
"Application of Data Analytics for Production Optimization in Unconventional Reservoirs: A Critical Review","URTEC-2670157-MS","conference-paper","Mishra, Srikanta, Battelle Memorial Institute | Lin, Luan, Battelle Memorial Institute",2017,"URTEC","'data+science'"
"Bridging the Gap Between Deterministic and Probabilistic Uncertainty Quantification Using Advanced Proxy Based Methods","SPE-173301-MS","conference-paper","Goodwin, N., Essence Products and Services Ltd.",2015,"SPE","'data+science'"
"Root-Cause Analysis of Drilling Lost Returns in Injectite Reservoirs","SPE-0216-0062-JPT","journal-paper","Carpenter, Chris, JPT Technology Editor",2016,"SPE","'data+science'"
"Spare Part Inventory Optimisation","SPE-186170-MS","conference-paper","Jeavons, Daniel, Shell Research Ltd. | Chaudry, Amjad, Shell Research Ltd. | Jones, Wayne, Shell Research Ltd. | Park, Tim, Shell Research Ltd. | Ramani, Hari, Shell India Markets Ltd.",2017,"SPE","'data+science'"
"The direction of cognitive technologies development in the Upstream Division of Gazprom Neft Company (Russian)","OIJ-2017-12-006-009-RU","journal-paper","Yakovlev, V. V., Gazprom Neft PJSC, RF, Saint-Petersburg | Khasanov, M. M., Gazpromneft NTC LLC, RF, Saint-Petersburg | Sitnikov, A. N., Gazpromneft NTC LLC, RF, Saint-Petersburg | Prokofiev, D. O., Gazpromneft NTC LLC, RF, Saint-Petersburg | Pustovskikh, A. A., Gazpromneft NTC LLC, RF, Saint-Petersburg | Margarit, A. S., Gazpromneft NTC LLC, RF, Saint-Petersburg | Simonov, M. V., Gazpromneft NTC LLC, RF, Saint-Petersburg | Perets, D. S., Gazpromneft NTC LLC, RF, Saint-Petersburg",2017,"OIJ","'data+science'"
"EOR-Feasibility Study for a Large Carbonate Field in Kuwait","SPE-0116-0053-JPT","journal-paper","Carpenter, Chris, JPT Technology Editor",2016,"SPE","'data+science'"
"Machine learning in the interpreter’s toolbox: Unsupervised, supervised, and deep-learning applications","SEG-2018-2997015","conference-paper","Bandura, Laura, Chevron Energy Technology Company | Halpert, Adam D., Chevron Energy Technology Company | Zhang, Zhao, Chevron Energy Technology Company",2018,"SEG","'data+science'"
"E&P Notes (March 2017)","SPE-0317-0024-JPT","journal-paper","Jacobs, Trent, JPT Digital Editor | Parshall, Joel, JPT Features Editor",2017,"SPE","'data+science'"
"Machine Learning Can Enhance and Add Jobs","SPE-0718-0035-JPT","journal-paper","Parshall, Joel, JPT Features Editor",2018,"SPE","'data+science'"
